"","X4PSENRSTLV","X3TGPATOT","X1SES","S1FRNDCLG"
"248","2",4,1.0269,1
"249","1",2.5,-0.7147,2
"250","2",3,-0.7751,1
"251","2",3.5,1.3935,1
"252","2",3.5,1.3306,1
"253","2",3.5,1.1217,1
"254","1",3,0.1173,2
"255","2",2,1.1166,1
"257","0",1,-0.9551,2
"258","2",3.5,1.1745,1
"259","0",2.5,0.5316,1
"260","1",2,0.3952,1
"261","2",2.5,0.756,1
"262","2",3.5,-0.3173,1
"263","0",3.5,-0.9072,1
"264","2",3,0.6152,1
"265","0",3.5,1.0828,1
"266","1",3,0.8583,1
"267","2",3.5,1.0912,1
"268","1",2.5,0.5269,1
"270","2",3.5,1.1097,1
"272","2",3,1.4744,1
"273","1",3,0.8881,1
"275","1",2.5,-0.382,1
"276","2",3.5,-1.2395,1
"277","2",4,1.013,1
"278","2",3.5,1.1489,1
"280","2",4,0.2238,1
"281","1",3,-0.5506,1
"282","2",3,-0.4549,1
"283","1",2.5,1.1341,1
"284","2",3,-0.2285,1
"285","2",4,0.7961,1
"286","0",3,-0.3641,1
"287","2",4,-0.6333,1
"289","2",3.5,1.2108,1
"290","2",3.5,1.2149,1
"291","2",2.5,1.433,1
"292","2",3.5,0.2825,1
"293","2",3.5,0.4308,1
"294","0",2.5,-0.3431,1
"295","2",3.5,1.0326,1
"296","2",2.5,-0.1908,1
"298","2",3,0.3714,1
"299","2",3,0.3538,1
"300","1",3.5,-0.387,1
"301","0",3.5,1.0925,1
"302","0",2.5,-0.2606,1
"304","2",2.5,1.412,1
"305","0",4,0.0506,1
"306","1",2.5,0.4784,1
"308","2",4,1.1654,1
"309","0",3.5,-0.2295,1
"311","1",3,0.3581,2
"315","2",4,0.0331,1
"316","2",3,1.479,1
"317","2",2.5,0.0397,1
"318","1",3,0.1703,1
"319","2",4,2.5668,1
"320","2",3.5,0.8268,1
"321","2",3.5,2.2037,1
"322","2",3,1.152,1
"323","2",4,2.3867,1
"325","2",3.5,0.8485,1
"326","1",3,1.4985,1
"327","2",2.5,0.726,1
"328","0",3,-0.3394,1
"329","1",2,-0.2562,1
"330","2",3,0.7014,1
"331","1",2.5,1.0178,1
"332","2",3,1.2816,1
"333","1",3,-1.2698,2
"334","2",3.5,1.1594,1
"335","2",3.5,0.4344,1
"336","2",3,0.6889,1
"337","2",3.5,0.4518,1
"338","2",2,1.2962,1
"339","0",3,0.9062,1
"340","2",3.5,0.4005,1
"341","0",3,-0.874,1
"342","2",3.5,0.8812,1
"343","1",2.5,-0.6755,1
"344","1",3,-0.1739,1
"345","1",3,1.6251,1
"346","2",3,2.5668,1
"347","2",4,-1.0449,1
"348","2",4,-0.1915,1
"349","1",2,-1.0556,1
"350","2",3,-0.4438,1
"351","0",3,-0.0922,1
"352","2",3,0.8026,1
"353","2",3.5,0.6546,1
"354","2",3.5,0.1339,1
"355","2",2,0.2008,1
"356","2",3.5,-0.0197,1
"357","1",3,0.5794,1
"358","2",4,0.0337,1
"359","2",3.5,1.3397,1
"360","0",2,-1.2803,2
"361","2",3.5,1.5454,1
"362","0",3,-0.7751,1
"364","0",3,-0.5493,1
"365","0",2.5,0.1505,1
"366","2",3,-0.0522,1
"367","2",3,-0.0262,1
"368","2",4,1.3314,1
"371","0",2.5,-0.7928,1
"372","2",3.5,0.2282,1
"373","2",3,-0.4089,2
"374","2",3,1.1115,1
"375","2",4,1.1049,1
"376","2",4,-0.8455,2
"377","0",2,1.8857,1
"378","0",1.5,-0.7426,1
"379","2",2.5,-0.3755,1
"380","2",3.5,0.6354,1
"383","2",4,0.2416,1
"384","0",2.5,-1.1636,2
"385","1",2.5,-1.245,1
"386","2",3.5,0.7605,1
"387","2",3,1.4717,1
"388","2",4,1.1363,1
"389","0",3,-0.3841,1
